time,Impor,Ekspor,Cadangan Devisa,IHSG,SPinSim,SBSR,SBIrFer,Simpanan bank ,NTRiil,NTPdag ,M1,M2/CD,M2M,PS1
Jan-90,1314.80,1909.00,6291.70,441.81,1.25,15.86,5.06,14.33074792,373.27,1.4519,10.45,0.0052,6.44,
Feb-90,1492.20,1845.20,6068.20,504.27,1.24,15.56,4.36,14.56732892,376.63,1.2366,10.66,0.0055,6.46,1
Mar-90,1694.30,2055.00,6259.10,612.20,1.24,16.63,5.83,16.70762479,375.39,1.2129,12.15,0.0056,6.16,1
Apr-90,1067.60,1803.00,5914.10,638.79,1.26,14.73,3.92,15.65500273,380.27,1.6888,12.27,0.0062,5.78,1
May-90,1796.10,1802.00,5259.70,636.40,1.23,15.13,4.32,15.32189542,384.14,1.0033,11.56,0.0071,6.92,0
Jun-90,1686.90,1750.00,5767.50,624.33,1.22,14.77,7.92,16.06778742,388.69,1.0374,12.58,0.0066,6.77,0
Jul-90,1756.70,1812.00,6392.70,614.41,1.19,14.29,7.91,16.2747431,396.82,1.0315,12.23,0.0060,7.04,0
Aug-90,2042.40,2124.00,6615.60,556.34,1.18,16.66,9.74,16.91334769,397.52,1.0400,12.08,0.0060,6.76,0
Sep-90,2259.00,2603.00,6514.50,468.51,1.15,17.85,9.96,17.30901288,397.46,1.1523,12.33,0.0063,7.02,0
Oct-90,1847.70,2639.00,6826.80,416.49,1.12,18.42,10.05,17.44925214,400.90,1.4283,12.05,0.0061,7.14,0
Nov-90,2383.30,2681.20,7467.60,383.20,1.11,20.02,10.78,17.69002123,403.87,1.1250,12.20,0.0057,7.18,0
Dec-90,2426.80,2650.50,8661.30,417.79,1.11,20.93,11.76,21.00420831,407.74,1.0922,12.53,0.0051,7.05,0
Jan-91,1942.00,2554.00,8539.80,383.02,1.17,20.61,12.36,18.3917364,410.74,1.3151,12.04,0.0052,7.84,0
Feb-91,2097.30,2361.00,8646.70,391.33,1.13,21.76,12.82,17.2515625,413.17,1.1257,13.68,0.0051,7.01,0
Mar-91,2205.80,2115.00,9560.80,408.11,1.10,24.18,17.67,17.30020704,415.25,0.9588,12.20,0.0044,7.37,0
Apr-91,2195.60,2667.00,9840.70,413.71,1.07,23.39,13.01,15.61165549,424.03,1.2147,12.07,0.0044,7.47,0
May-91,2245.00,2378.00,9782.30,397.60,1.05,25.47,13.37,16.201849,425.30,1.0592,12.07,0.0045,7.80,0
Jun-91,2224.00,2433.00,9754.00,346.27,1.08,24.56,13.08,16.73797339,427.46,1.0940,12.59,0.0046,7.70,0
Jul-91,2177.00,2538.00,9623.90,339.96,1.00,22.54,11.23,17.23379275,436.06,1.1658,12.10,0.0047,8.26,0
Aug-91,2047.00,2414.00,9467.20,300.98,1.06,21.67,11.42,17.71603053,444.37,1.1793,12.54,0.0049,8.30,0
Sep-91,1943.00,2441.00,9292.80,249.19,1.09,22.49,13.57,18.04827236,443.65,1.2563,13.11,0.0051,8.17,0
Oct-91,2257.00,2544.00,9347.60,226.68,1.13,21.11,12.87,18.33940314,448.49,1.1272,12.73,0.0052,8.32,0
Nov-91,2070.00,2409.00,10010.10,241.32,1.14,20.76,12.96,18.497733,453.77,1.1638,13.01,0.0049,8.36,0
Dec-91,2609.00,2689.00,9867.70,247.39,1.15,21.70,14.36,23.00552209,455.92,1.0307,13.22,0.0050,8.02,0
Jan-92,2189.00,2358.00,10198.50,282.20,1.16,21.11,13.69,18.70359281,460.04,1.0772,13.09,0.0048,8.29,0
Feb-92,2228.00,2487.00,10094.20,280.90,1.16,21.22,14.12,18.71293532,460.92,1.1162,13.06,0.0049,8.30,0
Mar-92,2134.00,2627.00,10542.20,278.60,1.16,20.63,13.84,22.83143282,463.19,1.2310,13.54,0.0047,6.89,0
Apr-92,2263.00,2390.00,11126.20,277.20,1.17,20.23,12.49,18.59297725,467.94,1.0561,12.91,0.0045,8.28,0
May-92,2245.00,2703.00,11314.60,299.20,1.19,20.71,13.27,19.12086828,468.93,1.2040,12.90,0.0046,8.29,0
Jun-92,2352.00,2694.00,11352.10,313.60,1.21,19.44,11.96,19.68371864,471.66,1.1454,13.20,0.0046,8.41,0
Jul-92,2202.00,2844.00,11619.90,317.20,1.25,19.21,12.75,20.27125307,472.18,1.2916,13.27,0.0046,8.60,0
Aug-92,2206.00,2017.00,11869.90,301.27,1.28,18.70,12.06,20.92723697,471.36,0.9143,13.48,0.0046,8.49,0
Sep-92,2374.00,2851.00,11582.30,298.39,1.28,18.30,11.76,21.21589794,471.87,1.2009,13.56,0.0048,8.51,0
Oct-92,2093.00,3453.00,11787.90,307.58,1.31,17.56,11.43,21.5,474.92,1.6498,13.60,0.0048,8.69,0
Nov-92,2240.00,3313.00,12171.80,285.60,1.29,17.13,10.88,28.51287033,477.55,1.4790,13.85,0.0047,8.59,0
Dec-92,2785.00,3351.00,11610.90,274.34,1.32,16.05,9.76,28.96605238,481.75,1.2032,13.96,0.0050,8.08,0
Jan-93,2143.00,3002.00,11722.80,280.15,1.34,13.43,8.07,29.11761859,494.36,1.4008,13.91,0.0049,8.52,0
Feb-93,2016.00,2893.00,11831.50,300.38,1.34,14.11,8.32,30.06240929,502.87,1.4350,14.05,0.0050,8.57,0
Mar-93,2191.00,3009.00,11981.20,310.76,1.38,14.22,8.36,29.43408981,509.56,1.3733,14.77,0.0050,7.71,0
Apr-93,2235.00,2958.00,12204.50,314.10,1.39,15.38,9.64,43.86065574,509.62,1.3235,14.32,0.0049,86.97,0
May-93,2154.00,3118.00,12100.20,341.85,1.40,15.12,8.83,43.67420597,510.60,1.4475,14.51,0.0049,8.43,0
Jun-93,2628.70,2981.20,12122.50,360.35,1.39,14.95,7.64,44.59195402,513.59,1.1341,15.12,0.0049,8.29,0
Jul-93,2430.40,3025.70,12155.10,356.72,1.38,14.22,5.07,45.83110687,519.02,1.2449,15.13,0.0050,8.10,0
Aug-93,2221.20,3128.40,12160.30,417.30,1.39,14.15,4.41,47.76831589,520.70,1.4084,16.20,0.0052,8.43,0
Sep-93,2682.10,3084.10,12207.20,419.96,1.43,13.49,6.05,49.19924099,522.57,1.1499,16.62,0.0053,8.43,0
Oct-93,2431.10,3218.40,12207.20,466.15,1.48,12.45,6.49,49.84140551,523.01,1.3238,16.91,0.0054,8.42,0
Nov-93,2374.40,3212.10,12270.50,518.78,1.53,12.02,6.19,51.2374169,524.82,1.3528,17.16,0.0055,8.33,0
Dec-93,2821.50,3194.70,12352.20,588.77,1.59,11.26,5.29,52.65402844,528.62,1.1323,17.55,0.0056,8.27,0
Jan-94,2112.20,2666.50,12419.40,592.02,1.59,10.39,4.84,53.04382658,536.80,1.2624,17.63,0.0056,8.61,0
Feb-94,2245.90,2799.60,12728.50,546.23,1.57,9.89,3.53,53.22367805,548.22,1.2465,18.74,0.0056,8.11,0
Mar-94,2619.10,3032.30,12708.50,492.37,1.56,10.84,4.60,51.53989734,551.72,1.1578,17.94,0.0055,7.86,0
Apr-94,2326.10,3133.90,11796.00,462.40,1.55,11.18,4.86,51.251745,553.84,1.3473,17.95,0.0059,8.10,0
May-94,2642.80,3209.80,11693.60,501.79,1.51,11.07,4.97,51.56937355,557.91,1.2145,18.07,0.0060,8.16,0
Jun-94,2806.80,3567.80,11733.60,457.30,1.45,11.94,5.90,52.50972222,558.00,1.2711,18.57,0.0060,7.97,0
Jul-94,2643.50,3514.90,11719.80,451.08,1.40,11.13,5.34,52.87505763,566.45,1.3296,18.56,0.0061,7.92,0
Aug-94,2756.10,3592.20,12356.80,510.26,1.36,12.05,5.63,54.25931034,570.78,1.3034,19.12,0.0059,7.89,0
Sep-94,2857.10,3481.20,12441.80,497.97,1.32,12.83,6.55,55.33608436,573.87,1.2184,19.44,0.0060,7.75,0
Oct-94,2857.30,3646.30,13222.30,523.49,1.29,12.77,6.41,56.97621226,579.93,1.2761,20.12,0.0057,7.76,0
Nov-94,2757.80,3640.90,13189.30,482.63,1.28,13.28,6.34,58.0501596,583.64,1.3202,20.19,0.0058,7.99,0
Dec-94,3364.00,3768.00,13157.90,469.64,1.24,13.76,6.43,60.205,588.53,1.1201,20.62,0.0060,7.88,0
Jan-95,2740.00,3259.00,12971.90,433.83,1.23,13.54,6.80,60.0357952,594.86,1.1894,20.20,0.0062,8.08,0
Feb-95,2942.00,3431.00,12976.30,453.58,1.19,14.04,6.75,60.26265823,601.60,1.1662,21.40,0.0063,7.03,0
Mar-95,3010.00,3485.00,13324.00,428.64,1.16,15.34,7.88,60.81252817,604.97,1.1578,20.24,0.0061,7.84,0
Apr-95,3059.00,3414.00,13399.30,416.45,1.14,14.70,6.98,60.88549618,615.37,1.1161,20.05,0.0061,8.08,0
May-95,3559.00,3822.00,13544.00,475.28,1.12,16.24,8.45,62.11404293,619.67,1.0739,20.14,0.0061,8.06,0
Jun-95,3964.00,3834.00,13927.00,492.27,1.11,16.93,8.78,64.48530721,622.23,0.9672,20.95,0.0061,8.33,0
Jul-95,3460.00,3775.00,14369.00,512.06,1.09,16.72,8.22,66.90159574,629.43,1.0910,21.00,0.0061,8.47,0
Aug-95,3807.00,3953.00,14251.00,500.74,1.09,17.29,8.25,69.00838482,632.56,1.0384,21.35,0.0063,8.64,0
Sep-95,3847.00,3940.00,14319.00,493.24,1.09,17.23,8.10,69.86021978,636.24,1.0242,21.53,0.0063,8.75,0
Oct-95,3391.00,3900.00,14333.00,488.44,1.11,16.76,7.88,71.44157549,641.04,1.1501,22.05,0.0064,8.87,0
Nov-95,3371.00,4080.00,14660.00,481.73,1.12,16.84,7.76,72.29137631,647.26,1.2103,21.95,0.0064,8.90,0
Dec-95,3505.00,4524.00,14787.00,513.84,1.12,16.35,7.62,73.93717504,656.23,1.2907,23.11,0.0065,8.64,0
Jan-96,3184.00,3601.00,14866.00,578.55,1.12,14.11,6.24,74.05884898,673.42,1.1310,22.58,0.0065,8.94,0
Feb-96,2870.00,3685.00,16067.00,585.20,1.12,15.90,7.67,75.27734711,683.34,1.2840,23.24,0.0061,7.63,0
Mar-96,3563.00,3955.00,16097.00,585.70,1.12,17.95,9.92,75.67436885,679.70,1.1100,22.75,0.0062,7.49,0
Apr-96,3690.00,4030.00,16044.00,623.90,1.11,17.09,8.83,77.88556789,680.52,1.0921,22.88,0.0063,7.82,0
May-96,3942.00,4075.00,16039.00,617.46,1.11,16.74,8.29,78.74341546,687.09,1.0337,22.83,0.0064,8.02,0
Jun-96,4012.00,4136.00,16649.00,594.25,1.11,18.09,9.54,82.02476516,678.10,1.0309,24.10,0.0064,8.10,0
Jul-96,3589.00,4069.00,16571.00,536.02,1.10,16.66,8.17,83.41436464,684.70,1.1337,24.53,0.0065,8.28,0
Aug-96,3434.00,4322.00,16559.00,547.61,1.11,17.30,8.94,83.12780364,686.03,1.2586,24.37,0.0065,8.18,1
Sep-96,3645.00,4331.00,16554.00,573.30,1.11,17.07,8.85,86.2525641,678.42,1.1882,25.51,0.0067,8.29,1
Oct-96,3521.00,4472.00,16717.00,568.02,1.12,16.77,8.59,88.8422619,682.52,1.2701,25.34,0.0068,8.39,1
Nov-96,3652.00,4456.00,17953.00,613.01,1.12,16.77,7.93,90.95143581,688.66,1.2202,25.42,0.0065,8.59,1
Dec-96,3827.00,4682.00,19281.00,637.43,1.12,16.69,7.21,94.64876206,695.35,1.2234,26.89,0.0063,8.39,1
Jan-97,4781.00,4484.00,19931.00,691.11,1.13,15.15,5.43,93.47746244,708.77,0.9379,27.49,0.0061,8.22,1
Feb-97,3310.00,4027.00,19968.00,705.37,1.14,15.90,6.05,94.72859518,714.87,1.2166,27.01,0.0061,8.69,1
Mar-97,4699.00,4451.00,19983.00,662.23,1.15,16.44,5.79,94.35014469,717.14,0.9472,26.28,0.0061,8.33,1
Apr-97,3943.00,4946.00,20452.00,652.05,1.16,15.85,4.94,95.72955199,723.30,1.2544,26.54,0.0060,7.72,1
May-97,5000.00,4854.00,21123.00,696.02,1.17,15.75,4.76,96.42704918,728.07,0.9708,26.74,0.0059,7.71,1
Jun-97,3550.00,4936.00,21276.00,724.55,1.17,15.97,5.16,98.62040816,729.86,1.3904,28.55,0.0060,7.74,1
Jul-97,4340.00,5130.00,21148.00,721.27,1.17,15.04,4.69,92.75721431,779.49,1.1820,26.65,0.0058,7.96,1
Aug-97,4732.00,4547.00,20185.00,493.96,1.16,20.81,7.44,77.03953871,916.91,0.9609,21.49,0.0053,9.78,0
Sep-97,4459.00,4689.00,21187.00,546.68,1.01,25.13,15.66,72.18320611,997.72,1.0516,20.23,0.0047,8.98,0
Oct-97,4786.00,4838.00,19213.00,500.41,0.97,26.34,14.06,65.63841962,1130.84,1.0109,18.35,0.0048,10.15,0
Nov-97,3966.00,4516.00,18903.00,401.70,1.00,25.72,13.65,64.89391447,1133.63,1.1387,19.15,0.0048,9.77,1
Dec-97,3741.00,4879.00,17396.00,401.71,1.06,22.20,12.66,53.08301075,1471.67,1.3042,16.85,0.0044,7.72,0
Jan-98,3203.00,3892.00,18985.00,485.93,1.12,15.69,7.52,25.1579759,3502.80,1.2151,8.94,0.0023,8.05,0
Feb-98,2401.00,4027.00,16298.00,482.37,1.07,11.33,4.02,32.18857143,3324.96,1.6772,10.57,0.0030,8.67,0
Mar-98,3284.00,4908.00,16613.00,541.42,1.02,21.99,17.17,37.74186186,3330.95,1.4945,11.80,0.0033,7.57,1
Apr-98,3687.00,4385.00,17742.00,460.13,1.00,24.70,36.41,42.97306667,3131.46,1.1893,12.72,0.0034,7.43,0
May-98,2600.00,4239.00,18991.00,420.46,1.01,27.71,47.44,31.83344418,4622.48,1.6304,9.88,0.0025,7.27,0
Jun-98,2840.00,4668.00,18769.00,445.92,0.83,35.99,47.98,23.50557047,6838.86,1.6437,7.35,0.0020,8.05,0
Jul-98,3181.00,4333.00,19418.00,481.71,0.79,34.45,56.87,27.73961538,6469.64,1.3622,8.14,0.0022,7.67,0
Aug-98,3062.00,4252.00,19735.00,342.43,0.79,38.05,59.05,32.7765237,5851.73,1.3886,9.44,0.0025,7.88,0
Sep-98,3046.00,4781.00,20475.00,276.15,0.75,43.63,59.88,35.31485981,5858.66,1.5696,9.59,0.0025,7.83,0
Oct-98,3059.00,3785.00,21636.00,300.77,0.65,54.94,55.23,52.45748344,4112.69,1.2373,13.19,0.0033,7.54,0
Nov-98,2451.00,3542.00,22623.00,386.27,0.66,52.98,46.42,57.1309589,3979.76,1.4451,13.83,0.0033,7.54,0
Dec-98,2465.00,3557.00,23516.00,398.03,0.71,47.81,32.21,53.63127726,4439.82,1.4430,12.61,0.0031,7.69,0
Jan-99,2140.00,3041.00,24542.00,411.93,0.76,42.53,28.95,48.65039106,5086.23,1.4210,11.39,0.0027,7.97,0
Feb-99,2452.00,3357.00,24392.00,396.00,0.91,36.94,31.61,50.42107675,5017.68,1.3691,11.85,0.0028,7.75,0
Mar-99,2795.00,4413.00,25942.00,393.62,0.95,35.03,33.57,50.9472654,4964.43,1.5789,12.17,0.0027,7.66,0
Apr-99,3029.00,4127.00,25715.00,495.22,0.93,34.77,31.85,55.03583535,4658.60,1.3625,12.19,0.0029,8.13,0
May-99,2873.00,4169.00,26146.00,585.24,0.98,31.48,24.26,57.93510179,4558.27,1.4511,12.75,0.0030,8.23,0
Jun-99,2748.00,4106.00,27051.00,662.02,1.05,27.73,17.39,71.05114481,3769.97,1.4942,15.75,0.0034,7.96,0
Jul-99,2638.00,4534.00,26749.00,597.87,1.12,24.50,11.36,71.00363636,3801.63,1.7187,15.43,0.0034,8.12,0
Aug-99,2771.00,4903.00,26888.00,572.66,1.27,19.99,9.12,64.41784534,4134.31,1.7694,14.48,0.0031,8.06,0
Sep-99,3228.00,4832.00,26888.00,547.94,1.45,16.56,8.93,58.49284522,4523.54,1.4969,14.09,0.0029,8.03,0
Oct-99,2924.00,4549.00,27093.00,593.86,1.70,13.31,8.00,70.81130435,3717.39,1.5557,16.86,0.0034,7.59,0
Nov-99,2933.00,4394.00,27071.00,583.80,1.67,12.80,7.55,66.27784512,4007.72,1.4981,15.80,0.0032,7.90,0
Dec-99,2790.00,4819.00,27257.00,676.92,1.60,11.22,5.28,69.56499647,3890.51,1.7272,17.59,0.0033,6.35,0
Jan-00,3288.15,4471.10,27861.00,636.37,1.56,11.53,4.96,67.81225589,4118.74,1.3598,16.49,0.0031,7.42,0
Feb-00,2698.29,5012.49,28401.00,576.54,1.56,12.57,5.90,68.02051965,4141.63,1.8577,16.28,0.0031,7.50,0
Mar-00,3375.78,5629.79,29230.00,583.27,1.53,12.85,6.30,67.55401845,4135.46,1.6677,16.42,0.0030,7.38,0
Apr-00,2955.02,4720.43,28854.00,526.73,1.55,11.60,4.50,65.02404028,4350.49,1.5974,16.03,0.0029,7.56,0
May-00,3484.09,5257.56,28532.00,454.32,1.56,10.97,3.86,60.54361949,4754.30,1.5090,15.11,0.0028,7.50,0
Jun-00,4224.08,5758.76,27531.00,515.11,1.55,11.19,5.26,59.56599886,4816.40,1.3633,15.32,0.0028,7.24,0
Jul-00,3775.49,5758.90,27404.00,492.19,1.53,10.51,5.98,57.72431412,5016.18,1.5253,15.08,0.0028,7.29,0
Aug-00,4145.24,5844.25,27451.00,466.38,1.45,11.85,6.52,63.37708082,4642.57,1.4099,16.47,0.0030,7.25,0
Sep-00,4529.65,6223.86,28094.00,421.33,1.40,12.90,7.70,60.2594533,4888.74,1.3740,15.42,0.0028,7.07,0
Oct-00,4009.63,5906.55,28736.00,405.34,1.37,11.93,6.25,57.76178819,5282.79,1.4731,14.78,0.0026,7.25,0
Nov-00,3794.02,5753.31,29024.00,429.21,1.35,11.85,6.39,57.74113326,5426.08,1.5164,14.82,0.0026,7.19,0
Dec-00,2795.87,5067.28,29394.00,416.32,1.33,11.30,6.03,57.79562272,5572.46,1.8124,16.90,0.0026,5.95,0
Jan-01,3450.36,5054.34,29257.00,425.61,1.29,13.50,9.54,59.79185185,5471.76,1.4649,15.38,0.0027,7.94,0
Feb-01,2975.14,4796.81,29091.00,428.30,1.24,13.49,8.83,58.73980681,5721.55,1.6123,15.24,0.0026,8.13,0
Mar-01,3428.28,5547.68,28673.00,381.05,1.20,13.97,9.92,55.30807692,6090.39,1.6182,14.27,0.0026,8.20,0
Apr-01,3342.56,4963.68,28713.00,358.23,1.21,14.46,11.52,49.43203426,6841.03,1.4850,13.22,0.0024,8.31,0
May-01,3472.19,5115.77,28594.00,405.86,1.22,13.79,11.65,52.28965455,6523.04,1.4734,14.09,0.0025,8.16,0
Jun-01,3343.80,4924.61,28638.00,437.62,1.23,13.33,11.40,50.79903846,6849.38,1.4728,14.00,0.0024,7.97,0
Jul-01,3089.01,4894.19,28938.00,444.08,1.23,13.02,11.02,61.29175853,5840.39,1.5844,17.02,0.0028,7.72,0
Aug-01,3145.31,4802.44,28555.00,435.55,1.21,15.83,14.38,66.99898477,5424.30,1.5269,18.82,0.0031,7.46,0
Sep-01,2945.13,4533.71,28957.00,392.47,1.18,15.52,14.38,61.34894057,5931.01,1.5394,16.98,0.0028,7.57,0
Oct-01,2818.60,4646.55,28596.00,383.74,1.15,15.99,14.06,58.46075707,6461.94,1.6485,16.29,0.0027,7.79,0
Nov-01,2997.73,4230.04,28022.00,380.31,1.13,15.35,13.72,59.0093001,6580.34,1.4111,16.43,0.0028,7.58,0
